""	"pValue"	"log2fc"	"tValue"	"neglog10pValue"
"ENSG00000000003"	0.724317851732904	0.0790380604332146	1.03624970057398	0.140070810928579
"ENSG00000000005"	2.68180271265203e-07	2.00197659717989	8.23469173114005	6.57157317426893
"ENSG00000000419"	0.982075452474299	0.00894525692101844	0.10183659839838	0.00785514425541034
"ENSG00000000457"	0.17319456265489	-0.259083414623182	-2.57248464354671	0.76146574653371
"ENSG00000000460"	0.875815484240134	0.231010032306691	0.577949349394765	0.0575873808376582
"ENSG00000000938"	0.144878788345079	0.54450504303886	2.69114479563014	0.838995194784326
"ENSG00000000971"	0.0314719188682913	0.576834436024438	3.5246958448672	1.50207677699448
"ENSG00000001036"	0.0763620671541226	0.24064753924786	3.06663203729882	1.11712232358013
"ENSG00000001084"	0.561165556480039	-0.0983645218718383	-1.45883951766552	0.250908993184869
"ENSG00000001167"	0.836821629833796	-0.16848991363489	-0.70468810178909	0.0773671028600965
"ENSG00000001460"	0.845702870229025	-0.147336021651587	-0.67714218214632	0.0727821954551913
"ENSG00000001461"	0.414796850385151	-0.207733849189353	-1.82231311177477	0.382164549933774
"ENSG00000001497"	0.330100873849354	-0.177236872320906	-2.04842267561341	0.481353325995498
"ENSG00000001561"	0.505139217925216	0.159087965472368	1.59671250122317	0.296588912486805
"ENSG00000001617"	0.829953584631091	0.230818174464215	0.725974811373709	0.0809461949760358
"ENSG00000001626"	0.291283080911884	-0.729062482592563	-2.15940977273007	0.535684740501076
"ENSG00000001629"	0.154079883146726	0.186490775029526	2.65239767497369	0.812254059585787
"ENSG00000001630"	0.0492315370346836	-0.303553886366849	-3.3005954045684	1.30775660511164
"ENSG00000001631"	0.121485229740713	-0.318223086466434	-2.80642434670736	0.915476520683258
"ENSG00000002016"	0.680303482596857	-0.550827619688388	-1.14734638730331	0.167297305801558
"ENSG00000002079"	0.947434615168422	0.125968266823906	0.285961437460774	0.0234507520737484
"ENSG00000002330"	0.80029925087219	0.0903228423612426	0.819580204695975	0.0967475896313776
"ENSG00000002549"	0.247750423648109	0.210709085928144	2.30180744687898	0.605985594207455
"ENSG00000002586"	0.0551211372110469	0.247369115632614	3.23832276039603	1.25868183102446
"ENSG00000002587"	0.970864149298607	-0.0752341156098435	-0.163335456406985	0.0128415356301976
"ENSG00000002726"	0.804951447501256	-0.295518189562576	-0.805608957207606	0.094230314313128
"ENSG00000002745"	0.534813934703648	-0.509690987566815	-1.5280104317374	0.27179728561712
"ENSG00000002746"	0.674178178071321	0.38240856141911	1.16308781000141	0.171225308914702
"ENSG00000002822"	0.471027226303869	0.283292502206302	1.67965687719719	0.32695398906687
"ENSG00000002834"	0.037055000704305	0.236174584832524	3.44156798279108	1.43115317414257
"ENSG00000002919"	0.339537691449563	-0.203378190847426	-2.01972818050853	0.469112008482242
"ENSG00000002933"	0.374019852220863	0.309187387888398	1.92754852939516	0.42710534571086
"ENSG00000003056"	0.459328774196333	0.519481332406048	1.70647802021323	0.337876347782021
"ENSG00000003096"	0.931145904750409	0.0720758459512112	0.358918645356425	0.0309822624523549
"ENSG00000003137"	0.605987819089903	0.44096742400561	1.34342536498492	0.217536105462769
"ENSG00000003147"	0.515054120996657	0.412000408999709	1.57389797709977	0.288147133647631
"ENSG00000003249"	0.792030784024749	0.304835404960152	0.845279810176972	0.101257938268762
"ENSG00000003393"	0.480988012606575	-0.111786513742206	-1.65432908461198	0.317865747168144
"ENSG00000003400"	0.835762352655388	0.130784824652899	0.707579968679869	0.0779171957698823
"ENSG00000003402"	0.627481371882216	-0.392244756701624	-1.28928395918222	0.202399162610026
"ENSG00000003436"	0.0948403353560908	0.312540305693981	2.94587287204258	1.0230069190228
"ENSG00000003509"	0.257854434390155	-0.268149763290975	-2.2692723045825	0.588625395517243
"ENSG00000003756"	0.217287143261224	0.293781983465703	2.40470146125642	0.662965969840966
"ENSG00000003987"	0.799446800539187	-0.335207962686225	-0.821397877051282	0.0972104312310595
"ENSG00000003989"	0.967054849926242	0.0821945542743379	0.182228955136389	0.0145488926752812
"ENSG00000004059"	0.875956372955084	0.0573867061804947	0.577202074965729	0.0575175233486869
"ENSG00000004139"	0.727186127683773	0.269685662618574	1.02739021906425	0.13835441461537
"ENSG00000004142"	0.947656489823205	-0.0318512736472094	-0.284889706590482	0.0233490588744792
"ENSG00000004399"	0.73658302342405	0.0698965920440742	1.00322272846188	0.132778294873204
"ENSG00000004455"	0.190986782050962	0.488779645291952	2.50069439426655	0.718996688673582
"ENSG00000004468"	0.953689889808563	0.0668446641660623	0.251185276514315	0.0205928213538478
"ENSG00000004478"	0.302639272557881	-0.353253688797554	-2.12660031079021	0.519074715610627
"ENSG00000004487"	0.344856064381034	-0.275044810491544	-2.00451616217554	0.462362132429682
"ENSG00000004534"	0.417802100752995	-0.167525053941198	-1.81213500848123	0.379029380671795
"ENSG00000004660"	0.86262487537801	0.0657173860155726	0.621296828085148	0.0641780223277466
"ENSG00000004700"	0.626484924481021	0.121744686897937	1.2915116676302	0.203089375257986
"ENSG00000004766"	0.490957517505767	0.651789787164666	1.6279124095545	0.308956085699912
"ENSG00000004776"	0.806070692694125	0.197783146465717	0.802213154745569	0.0936268687399889
"ENSG00000004777"	0.275549115706201	0.610007514048932	2.20862595287126	0.559800978376611
"ENSG00000004779"	0.400794823459841	-0.157068759200016	-1.85543443614534	0.397077896315822
"ENSG00000004799"	0.0128816607461202	-0.413102956069716	-3.91060935366076	1.89002814269199
"ENSG00000004809"	0.225530035163321	0.949386065150156	2.37598239030189	0.646795612379924
"ENSG00000004838"	0.816120255925286	-0.063502273746515	-0.77284397289774	0.0882458429167598
"ENSG00000004846"	0.434934260527254	-0.639938580605257	-1.76936040944833	0.361576380856417
"ENSG00000004848"	0.822671315341441	-0.352070933308159	-0.750936769393226	0.0847736452805425
"ENSG00000004864"	0.587372107508296	0.21894150876596	1.38851616930668	0.231086680630459
"ENSG00000004866"	0.85284063073875	0.0794528328331783	0.652999665518252	0.069132117316925
"ENSG00000004897"	0.314129945185441	0.343246102703803	2.09297208691011	0.50289066147189
